Describe your overall experience using the campus laundry service  ,processed
usual poor experi machin environ unhygien,"['usual', 'poor', 'expert', 'machine', 'environment', 'unhygien']"
overal s good just minor discrep disrupt,"['overall', 'good', 'minor', 'discrete', 'disrupt']"
okay satisfi,"['okay', 'satisfy']"
just okay best worst,"['okay', 'best', 'worst']"
doesnt dri cloth s bit expens includ soap prefer wash decentrum cleaner dri lot cloth smell nice dont soap,"['dry', 'cloth', 'bit', 'expense', 'include', 'soap', 'prefer', 'wash', 'centrum', 'clean', 'dry', 'lot', 'cloth', 'smell', 'nice', 'soap']"
okay,['okay']
averag,['average']
okay,['okay']
usual dont problem use,"['usual', 'problem', 'use']"
okay,['okay']
use,['use']
usual fine,"['usual', 'fine']"
good bad,"['good', 'bad']"
okay problemat,"['okay', 'problem']"
quit bad machin payment went s difficult make transact,"['quit', 'bad', 'machine', 'payment', 'go', 'difficult', 'make', 'transit']"
just like normal laundri,"['like', 'normal', 'laundry']"
fine,['fine']
okay use,"['okay', 'use']"
good,['good']
good,['good']
good,['good']
good,['good']
better,['well']
good,['good']
good,['good']
neutral,['neutral']
good bc rare use,"['good', 'bc', 'rare', 'use']"
good,['good']
far good,"['far', 'good']"
good,['good']
servic reliabl conveni app base payment make easi manag machin crowd weekend,"['service', 'reliable', 'convenience', 'app', 'base', 'payment', 'make', 'easy', 'manage', 'machine', 'crowd', 'weekend']"
okay,['okay']
ok,['ok']
okay big problem,"['okay', 'big', 'problem']"
everytim use got problem,"['everytim', 'use', 'get', 'problem']"
okay improv,"['okay', 'improve']"
good,['good']
usual okay,"['usual', 'okay']"
bad poor experi,"['bad', 'poor', 'expert']"
overal problemat,"['overall', 'problem']"
okay,['okay']
bad recommend,"['bad', 'recommend']"
okay improv,"['okay', 'improve']"
ok dont realli bad happen,"['ok', 'really', 'bad', 'happen']"
good,['good']
usual okay prefer decentrum coz got size,"['usual', 'okay', 'prefer', 'centrum', 'get', 'size']"
bad improv need,"['bad', 'improve', 'need']"
ok work intend,"['ok', 'work', 'intend']"
rare use got zafirah laundri servic use usual morn okay wait time,"['rare', 'use', 'get', 'zafirah', 'laundry', 'service', 'use', 'usual', 'okay', 'wait', 'time']"
averag doe minimum,"['average', 'minimum']"
cheap easi use,"['cheap', 'easy', 'use']"
meeh problem use,"['meet', 'problem', 'use']"
improv,['improve']
gud wait long machin,"['gun', 'wait', 'long', 'machine']"
ok got problem,"['ok', 'get', 'problem']"
ok got problem,"['ok', 'get', 'problem']"
gener problem,"['generally', 'problem']"
doe work,['work']
experi usual okay,"['expert', 'usual', 'okay']"
conveni time save bit challeng,"['convenience', 'time', 'save', 'bit', 'challenge']"
laundri servic help save time crowd,"['laundry', 'service', 'help', 'save', 'time', 'crowd']"
