What do you think the laundry service management can improve?  ,processed
includ cash weekli machin cleanup updat timer accur includ proper refund process autom includ laundri basket insert peopl laundri long,"['include', 'cash', 'weekly', 'machine', 'cleanup', 'update', 'timer', 'occur', 'include', 'proper', 'refund', 'process', 'auto', 'include', 'laundry', 'basket', 'insert', 'people', 'laundry', 'long']"
number washer dryer especi washer technic problem washer work payment add option pay cash student t pay e wallet bank servic especi intern student usual live midsem break make sure floor hygen walk shoe clean,"['number', 'washer', 'dry', 'respect', 'washer', 'technical', 'problem', 'washer', 'work', 'payment', 'add', 'option', 'pay', 'cash', 'student', 'pay', 'e', 'wallet', 'bank', 'service', 'respect', 'intern', 'student', 'usual', 'live', 'miss', 'break', 'make', 'sure', 'floor', 'hygiene', 'walk', 'shoe', 'clean']"
add atleast machin,"['add', 'atleast', 'machine']"
chang better washer dryer s,"['change', 'well', 'washer', 'dryer']"
improv servic qualiti,"['improve', 'service', 'quality']"
add machin,"['add', 'machine']"
provid separ laundri room block,"['provide', 'seperate', 'laundry', 'room', 'block']"
add machin dryer wash machin,"['add', 'machine', 'dryer', 'wash', 'machine']"
add min total wash machin,"['add', 'min', 'total', 'wash', 'machine']"
mayb add laundri servic build got machin peopl use,"['may', 'add', 'laundry', 'service', 'build', 'get', 'machine', 'people', 'use']"
add machin,"['add', 'machine']"
add machin mayb,"['add', 'machine', 'may']"
think good idea includ bakul peopl cloth add bakul caus major cloth time,"['think', 'good', 'idea', 'include', 'basket', 'people', 'cloth', 'add', 'basket', 'major', 'cloth', 'time']"
add cash seamless refund procedur,"['add', 'cash', 'seamless', 'refund', 'procedure']"
add machin,"['add', 'machine']"
add machin,"['add', 'machine']"
want extraa,"['want', 'extra']"
improv cleanli,"['improve', 'cleanly']"
more machin,['machine']
add dryer wash machin,"['add', 'dryer', 'wash', 'machine']"
wash machin,"['wash', 'machine']"
wash machin servic fast repair need,"['wash', 'machine', 'service', 'fast', 'repair', 'need']"
tha payment,['payment']
think add addit dryer wash machin,"['think', 'add', 'admit', 'dry', 'wash', 'machine']"
payment,['payment']
check dryer,"['check', 'dryer']"
machin mayb payment,"['machine', 'may', 'payment']"
dryer,['dryer']
make cashless payment easi use,"['make', 'castle', 'payment', 'easy', 'use']"
addit machin,"['admit', 'machine']"
overal good improv cleanli,"['overall', 'good', 'improve', 'cleanly']"
heat dri properli,"['heat', 'dry', 'properly']"
make timer accur,"['make', 'timer', 'occur']"
add machin,"['add', 'machine']"
add cash payment dont money account cadh,"['add', 'cash', 'payment', 'money', 'account', 'cash']"
machin,['machine']
clean place regularli,"['clean', 'place', 'regularly']"
add wash machin dri machin,"['add', 'wash', 'machine', 'dry', 'machine']"
repair upgrad machin,"['repair', 'upgrade', 'machine']"
add higher level heat caus current heat doesn t hot decentrum,"['add', 'high', 'level', 'heat', 'current', 'heat', 'hot', 'centrum']"
add machin plss updat timer wait long finish,"['add', 'machine', 'pas', 'update', 'timer', 'wait', 'long', 'finish']"
mainten regularli,"['maintenance', 'regularly']"
add differ size kg kg like decentrum,"['add', 'differ', 'size', 'kg', 'kg', 'like', 'centrum']"
updat timer,"['update', 'timer']"
place qr better locat make clear,"['place', 'qr', 'well', 'location', 'make', 'clear']"
updat timer add differ size machin,"['update', 'timer', 'add', 'differ', 'size', 'machine']"
clean area frequent,"['clean', 'area', 'frequent']"
uniten realli add machin,"['united', 'really', 'add', 'machine']"
add differ kg machin big laundri differ machin occupi,"['add', 'differ', 'kg', 'machine', 'big', 'laundry', 'differ', 'machine', 'occupy']"
add sapu mop clean,"['add', 'sweep', 'mop', 'clean']"
add cash payment instead qr code,"['add', 'cash', 'payment', 'instead', 'qr', 'code']"
rennovt time rennov don t know chang ig payment method chang,"['rennovt', 'time', 'reno', 'know', 'change', 'guess', 'payment', 'method', 'change']"
add wash machin dryer,"['add', 'wash', 'machine', 'dryer']"
add fan hot wait got fan slow,"['add', 'fan', 'hot', 'wait', 'get', 'fan', 'slow']"
updat timer,"['update', 'timer']"
regular mainten,"['regular', 'maintenance']"
think better uniten add machin make queue virtual,"['think', 'well', 'united', 'add', 'machine', 'make', 'queue', 'virtual']"
make dryer heater heat,"['make', 'dryer', 'heater', 'heat']"
better just add addit machin,"['well', 'add', 'admit', 'machine']"
machin regular mainten real time avail updat consist suppli,"['machine', 'regular', 'maintenance', 'real', 'time', 'avail', 'update', 'consist', 'supply']"
fix broken machin faster add machin track avail onlin,"['fix', 'broken', 'machine', 'faster', 'add', 'machine', 'track', 'avail', 'online']"
